condition,true_class,seed,predicted_class,classification_margin,correct,accepted,accepted_correct,measurement_noise_score,process_disturbance_score,parameter_mismatch_score,structural_change_score
measurement_noise_0.75,measurement_noise,49,measurement_noise,0.15631889392290388,True,False,False,1.1045721522208143,0.7013386268360765,0.6025847187466474,0.9482532582979104
measurement_noise_1.25,measurement_noise,0,measurement_noise,1.5461869950509912,True,True,True,1.9233049134338565,0.0,0.3253474134264699,0.3771179183828653
measurement_noise_1.25,measurement_noise,1,measurement_noise,1.0102944337753321,True,True,True,1.5856733349631802,0.03970666334215173,0.06223912076679727,0.575378901187848
measurement_noise_1.25,measurement_noise,2,measurement_noise,0.9489099931337762,True,True,True,1.4530241586092854,0.020150646138480693,0.5041141654755091,0.3474376739004038
measurement_noise_1.25,measurement_noise,3,measurement_noise,1.1199013889757599,True,True,True,1.7994808878561004,0.0,0.0,0.6795794988803405
measurement_noise_1.25,measurement_noise,4,measurement_noise,1.44323088375871,True,True,True,2.0395926585268516,0.1989903338696833,0.5963617747681416,0.47085583519943885
measurement_noise_1.25,measurement_noise,5,measurement_noise,0.8328899192104904,True,True,True,1.8831916166968878,0.6635452533454955,0.5880497749181104,1.0503016974863975
measurement_noise_1.25,measurement_noise,6,measurement_noise,1.4673023020119147,True,True,True,1.9956978061985304,0.0,0.5283955041866157,0.43962607030142
measurement_noise_1.25,measurement_noise,7,measurement_noise,1.0786114908879438,True,True,True,1.3243962431274716,0.0,0.0,0.24578475223952773
measurement_noise_1.25,measurement_noise,8,measurement_noise,1.6190233021041436,True,True,True,2.356936389962361,0.3166446817676833,0.7379130878582176,0.5554213215190458
measurement_noise_1.25,measurement_noise,9,measurement_noise,1.0597979673760647,True,True,True,1.8308726338492056,0.3098811991802525,0.4584098774086962,0.7710746664731409
measurement_noise_1.25,measurement_noise,10,measurement_noise,0.5485412704941957,True,True,True,1.6328422702072365,0.7386762179015283,0.39061968718359563,1.0843009997130408
measurement_noise_1.25,measurement_noise,11,measurement_noise,1.3954668664146408,True,True,True,1.7887179278431378,0.0,0.14167649061236987,0.39325106142849686
measurement_noise_1.25,measurement_noise,12,measurement_noise,1.4360864836385585,True,True,True,1.8181021465409664,0.0,0.16125573956504602,0.38201566290240774
measurement_noise_1.25,measurement_noise,13,measurement_noise,0.8322501560579864,True,True,True,1.7527450505347573,0.5399290163972084,0.003887118512755583,0.9204948944767709
measurement_noise_1.25,measurement_noise,14,measurement_noise,0.7422240740110695,True,True,True,1.62194120515541,0.44937082122505273,0.4563566800963811,0.8797171311443406
measurement_noise_1.25,measurement_noise,15,measurement_noise,0.9255527659926648,True,True,True,1.9042108900849577,0.9786581240922929,0.044187125959306295,0.9764147077001548
measurement_noise_1.25,measurement_noise,16,measurement_noise,1.474366946646903,True,True,True,1.8422429205545865,0.0,0.3678759739076837,0.287608568577703
measurement_noise_1.25,measurement_noise,17,measurement_noise,1.2548505487702546,True,True,True,1.9930359368597268,0.0,0.7381853880894722,0.2604883719136427
measurement_noise_1.25,measurement_noise,18,measurement_noise,1.7270822570755773,True,True,True,2.3069667162557197,0.0,0.5798844591801424,0.3582465713116899
measurement_noise_1.25,measurement_noise,19,measurement_noise,0.8070508819251209,True,True,True,1.4852567662589,0.06766435579272198,0.0,0.6782058843337792
measurement_noise_1.25,measurement_noise,20,measurement_noise,1.2115454019536367,True,True,True,1.5529677351684315,0.0,0.2540237755882062,0.34142233321479465
measurement_noise_1.25,measurement_noise,21,measurement_noise,1.2497266330826435,True,True,True,1.8642677301260195,0.0,0.614541097043376,0.26782005985896257
measurement_noise_1.25,measurement_noise,22,measurement_noise,1.2854734526655842,True,True,True,1.619314882159955,0.007868179627438382,0.3338414294943708,0.3289235061900446
measurement_noise_1.25,measurement_noise,23,measurement_noise,1.1659549582696342,True,True,True,1.7169803546619187,0.1878226989367746,0.4904454440041406,0.5510253963922844
measurement_noise_1.25,measurement_noise,24,measurement_noise,1.5281722655175063,True,True,True,2.129871302204508,0.0,0.601699036687002,0.5030572850063432
measurement_noise_1.25,measurement_noise,25,measurement_noise,1.2219962710753598,True,True,True,1.657230020469801,0.0,0.19066833656469884,0.4352337493944412
measurement_noise_1.25,measurement_noise,26,measurement_noise,1.1590303377499187,True,True,True,1.8661718664143985,0.0,0.7071415286644797,0.27215775736236836
measurement_noise_1.25,measurement_noise,27,measurement_noise,1.2764806525355363,True,True,True,1.6933125484920937,0.0,0.267790340198543,0.4168318959565573
measurement_noise_1.25,measurement_noise,28,measurement_noise,0.1660932289200422,True,False,False,1.0110116163896312,0.8402917904527171,0.0,0.844918387469589
measurement_noise_1.25,measurement_noise,29,measurement_noise,1.0208038430683146,True,True,True,1.6896568249080044,0.2624564258833144,0.0,0.6688529818396898
measurement_noise_1.25,measurement_noise,30,measurement_noise,0.8027339160719937,True,True,True,1.1696995568457378,0.0055045543003352515,0.10473871611744934,0.366965640773744
measurement_noise_1.25,measurement_noise,31,measurement_noise,1.4933576694794533,True,True,True,2.451312070277666,0.5793663431491862,0.7369107724770303,0.9579544007982127
measurement_noise_1.25,measurement_noise,32,measurement_noise,0.9393801589964167,True,True,True,1.521289805281961,0.21155637683582482,0.28594155224028417,0.5819096462855443
measurement_noise_1.25,measurement_noise,33,measurement_noise,0.9168238236917785,True,True,True,1.3466371259207077,0.03536576754696416,0.4298133022289292,0.35218388132189593
measurement_noise_1.25,measurement_noise,34,measurement_noise,0.7921268950911071,True,True,True,1.9405112574918812,0.881903409549684,0.4868893221354851,1.1483843624007741
measurement_noise_1.25,measurement_noise,35,process_disturbance,0.5589499914258644,False,True,False,1.6331935415683003,2.1976038047741397,0.0,1.6386538133482753
measurement_noise_1.25,measurement_noise,36,measurement_noise,1.1268111384450479,True,True,True,1.5350568755762684,0.0,0.0015121822559832632,0.40824573713122037
measurement_noise_1.25,measurement_noise,37,measurement_noise,1.126294047722748,True,True,True,1.8448698091099698,0.11729138318495069,0.7185757613872217,0.6374475972070456
