generation_seed,target_rows,target_contexts,exclusion_count,clean_cutoff_score,membership_switches,near_cutoff_rows,near_cutoff_switches,far_cutoff_switches,clean_only_exclusions,poison_only_exclusions,unsafe_clean_only_exclusions,unsafe_poison_only_exclusions,net_unsafe_crossing,clean_unsafe_selected,poison_unsafe_selected,delta_unsafe_selected,clean_total_regret,poison_total_regret,delta_regret,exclusion_jaccard,unsafe_to_safe,safe_to_unsafe,safe_to_safe,unsafe_to_unsafe,delta_auc,delta_ap,delta_recall
44801,261,87,102,0.31789724930599855,10,27,5,5,5,5,5,0,-5,8,11,3,0.1902418408837111,0.2811662761294413,0.09092443524573018,0.9065420560747663,0,3,1,0,-0.06074844772612853,-0.080025259005164,-0.0847457627118644
44802,258,86,101,0.31582647374988077,8,26,5,3,4,4,4,2,-2,5,9,4,0.1980031259538732,0.37552610012079707,0.17752297416692386,0.9238095238095239,0,4,1,0,-0.04250063878715615,-0.07056347469642843,-0.03389830508474578
44803,255,85,99,0.31980797047994086,2,26,1,1,1,1,1,1,0,12,13,1,0.7823014592578684,0.8203098303438782,0.03800837108600974,0.98,0,1,0,0,-0.02581369248035914,-0.055056296225816204,0.0
44804,252,84,98,0.3135652001978961,2,26,1,1,1,1,1,0,-1,8,9,1,0.4376158358409648,0.4749756331660788,0.03735979732511402,0.9797979797979798,0,1,0,0,-0.02679096329889985,-0.05693802522868946,-0.015873015873015817
44805,252,84,98,0.3197802224713396,4,26,3,1,2,2,2,1,-1,9,10,1,0.40274153474904784,0.470707328511076,0.06796579376202816,0.96,1,2,0,0,-0.02709441489361697,-0.05715585053057509,-0.015625
44806,243,81,95,0.34154107099830866,2,25,1,1,1,1,1,1,0,7,8,1,0.4015000987073102,0.43859263214732314,0.037092533440012954,0.9791666666666666,0,1,0,0,-0.04203409758965326,-0.07363741257625794,0.0
44807,246,82,96,0.34828461472185823,6,25,3,3,3,3,2,1,-1,9,11,2,0.5199404363387733,0.5812940666631364,0.06135363032436314,0.9393939393939394,0,2,2,0,-0.0352578627753104,-0.06486949370776235,-0.016949152542372947
44808,252,84,98,0.34845599386287757,6,26,5,1,3,3,2,1,-1,11,13,2,0.7292423992459114,0.8006656375277565,0.07142323828184516,0.9405940594059405,0,2,3,1,-0.031914000167968304,-0.05960956569922782,-0.015873015873015817
44809,255,85,99,0.3733611145619622,4,26,4,0,2,2,1,0,-1,9,10,1,0.5791460128037483,0.599681351440495,0.020535338636746614,0.9603960396039604,0,1,2,0,-0.029844214948363312,-0.06258021580557088,-0.017241379310344862
44810,252,84,98,0.3487307207528858,12,26,7,5,6,6,5,0,-5,14,18,4,0.6327419045392616,0.7228520009630877,0.09011009642382606,0.8846153846153846,0,4,7,1,-0.05131101250504233,-0.08533710951392504,-0.07462686567164178
44811,255,85,99,0.34770702979657725,12,26,7,5,6,6,5,1,-4,13,17,4,0.6251769363606681,0.6306108544455383,0.0054339180848702595,0.8857142857142857,1,5,6,0,-0.05152429342648457,-0.08544499819492735,-0.059701492537313494
44812,252,84,98,0.3404952099811633,12,26,6,6,6,6,5,0,-5,12,17,5,0.5307764277592738,0.616171223604019,0.08539479584474519,0.8846153846153846,0,5,6,0,-0.04854287393969936,-0.06885392330985252,-0.07936507936507942
44813,252,84,98,0.34728509296577775,12,26,6,6,6,6,5,2,-3,12,17,5,0.5362602483020049,0.6358888601418702,0.09962861183986527,0.8846153846153846,0,5,4,2,-0.05347593582887711,-0.08729563817724051,-0.0461538461538461
44814,243,81,95,0.3126714417847426,8,25,4,4,4,4,3,1,-2,9,12,3,0.35780651370201455,0.4384884253922692,0.08068191169025463,0.9191919191919192,0,3,4,1,-0.025349487418453,-0.03486813460387167,-0.03448275862068961
44815,243,81,95,0.3052191072571049,8,25,4,4,4,4,3,0,-3,8,11,3,0.336222187021711,0.41509071426315863,0.0788685272414476,0.9191919191919192,0,3,4,0,-0.025466893039049254,-0.035709778815173676,-0.052631578947368474
44816,237,79,92,0.3571729419794725,4,24,2,2,2,2,1,0,-1,4,5,1,0.26219509360107696,0.27919874581177906,0.017003652210702103,0.9574468085106383,0,1,2,0,-0.015306122448979664,-0.03329673399169769,-0.020408163265306034
44817,234,78,91,0.3183878085975148,8,24,4,4,4,4,3,0,-3,5,8,3,0.3569201054104767,0.43165817457735156,0.07473806916687487,0.9157894736842105,0,3,1,0,-0.024977598566308212,-0.041619759909648224,-0.0625
44818,237,79,92,0.3022007320785708,8,24,4,4,4,4,3,0,-3,5,8,3,0.3610521520554173,0.4603399554776789,0.09928780342226162,0.9166666666666666,0,3,2,0,-0.040454144620811316,-0.07586768385405229,-0.0625
44819,234,78,91,0.30585327048285105,8,24,4,4,4,4,3,0,-3,8,11,3,0.4340630913802946,0.5318287666356807,0.0977656752553861,0.9157894736842105,0,3,3,0,-0.046268111530500367,-0.08200077685150292,-0.06976744186046513
44820,240,80,94,0.30631990937190146,8,24,4,4,4,4,3,0,-3,8,11,3,0.4895834141127481,0.5942958066418232,0.10471239252907516,0.9183673469387755,0,3,3,0,-0.04167126005953037,-0.07612769451853779,-0.06382978723404253
