policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,generation_seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
two_stage_1.00,0.10526315789473684,0.1489712659711623,0.0018801653399649638,0.0,0.05668500299466531,0.9210526315789473,0.07894736842105263,1,67,8,0.06376615444601295,0.9868421052631579,0.6052631578947368,44001,500c743c32e2489cf25faec2fdecb213d56e431806620e0501652ef74bd70137,252,176,76,1
fixed_k3,0.11842105263157894,0.14822541066860093,0.0011343100374035782,0.0,0.05295314901486137,0.9342105263157895,0.06578947368421052,0,67,9,0.0,1.0,0.618421052631579,44001,500c743c32e2489cf25faec2fdecb213d56e431806620e0501652ef74bd70137,252,176,76,0
oracle,1.0,0.14709110063119735,0.0,0.0,0.0,1.0,0.0,0,0,76,0.8800679045697261,0.5,0.6973684210526315,44001,500c743c32e2489cf25faec2fdecb213d56e431806620e0501652ef74bd70137,252,176,76,0
direct_loss,0.34210526315789475,0.13963594849513614,0.003964046835852266,0.0,0.058516433430622905,0.8947368421052632,0.10526315789473684,7,43,26,0.8764655448634958,0.5131578947368421,0.0,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,1
fixed_risk_0.010,0.14473684210526316,0.13690119086859637,0.0012292892093125137,0.0,0.058516433430622905,0.9605263157894737,0.039473684210526314,2,63,11,0.33704446754204853,0.9078947368421053,0.5394736842105263,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,0
two_stage_0.10,0.19736842105263158,0.1392007413990378,0.0035288397397539376,0.0,0.058516433430622905,0.9078947368421053,0.09210526315789473,6,55,15,0.7124834223398485,0.7105263157894737,0.34210526315789475,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,1
two_stage_0.25,0.17105263157894737,0.13690119086859637,0.0012292892093125137,0.0,0.058516433430622905,0.9605263157894737,0.039473684210526314,2,61,13,0.39972598332804,0.881578947368421,0.5131578947368421,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,1
two_stage_1.00,0.11842105263157894,0.1374224708409987,0.0017505691817148354,0.0,0.058516433430622905,0.9342105263157895,0.06578947368421052,1,66,9,0.11076919850004076,0.9736842105263158,0.6052631578947368,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,1
fixed_k3,0.11842105263157894,0.13665251776954312,0.000980616110259271,0.0,0.050619747831568584,0.9473684210526315,0.05263157894736842,0,67,9,0.0,1.0,0.631578947368421,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,0
oracle,1.0,0.13567190165928386,0.0,0.0,0.0,1.0,0.0,0,0,76,0.8670477518370707,0.5394736842105263,0.6578947368421053,44002,24456686041070eb585b71e974ed42fe35efce10e7564b1f32b42a51a8c0c837,252,176,76,0
direct_loss,0.2894736842105263,0.14236944368960214,0.009823083801074356,0.0,0.0919584807787151,0.7631578947368421,0.2236842105263158,15,39,22,0.937109911477286,0.4473684210526316,0.0,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,1
fixed_risk_0.010,0.14473684210526316,0.13840735167459248,0.005860991786064696,0.0,0.0847037421332123,0.8552631578947368,0.13157894736842105,8,57,11,0.5005903540200343,0.8289473684210527,0.47368421052631576,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,1
two_stage_0.10,0.25,0.14192410447800854,0.009377744589480775,0.0,0.0919584807787151,0.7763157894736842,0.21052631578947367,14,43,19,0.9046341112747166,0.5394736842105263,0.15789473684210525,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,1
two_stage_0.25,0.23684210526315788,0.13905586956315075,0.006509509674622977,0.0,0.0919584807787151,0.8552631578947368,0.13157894736842105,8,50,18,0.6692766200743265,0.75,0.39473684210526316,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,1
two_stage_1.00,0.21052631578947367,0.1344995479545544,0.0019531880660266297,0.0,0.06857270650413214,0.9210526315789473,0.06578947368421052,1,59,16,0.15134353347238377,0.9605263157894737,0.5789473684210527,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,1
fixed_k3,0.18421052631578946,0.13359727550055267,0.001050915612024891,0.0,0.05179244947310335,0.9342105263157895,0.05263157894736842,0,62,14,0.0,1.0,0.618421052631579,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,0
oracle,1.0,0.13254635988852778,0.0,0.0,0.0,1.0,0.0,0,0,76,0.9433450310730067,0.4605263157894737,0.7105263157894737,44003,2b90b34302fd87c1f0e3b19f1ac05fe61158ec5f41ab1618b355037f55259604,252,176,76,0
direct_loss,0.3246753246753247,0.14907510871925883,0.009563476028946482,0.0,0.08718985998350148,0.8181818181818182,0.18181818181818182,14,38,25,0.9154201219251367,0.4935064935064935,0.0,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,1
